Location,StartDate,LastUpdate,Type,Description,Owner
2220 Oxford St,04/25/2018,10/05/2021,Commercial,"On this project at 2220 Oxford St, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Resources for Community Development
2929 7th St,08/19/2019,01/21/2022,Commercial,"On this project at 2929 7th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",2929 Seventh Street LLC
2020 Bonar St,05/24/2019,08/28/2020,Commercial,"On this project at 2020 Bonar St, Berkeley, CA 94702 there have been 0 permits filed, 8 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
2201 Dwight Way,12/19/2016,04/26/2018,Commercial,"On this project at 2201 Dwight Way, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1835 Alcatraz Ave,07/24/2020,03/20/2023,Commercial,"On this project at 1835 Alcatraz Ave, Berkeley, CA 94703 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Satellite Affordable Housing Associates (SAHA)
3003 Dwight Way,04/24/2018,06/02/2023,Commercial,"On this project at 3003 Dwight Way, Berkeley, CA 94704 there have been 0 permits filed, 13 preliminary notices  exchanged, 28 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
3100 San Pablo Ave,,,Commercial,"On this project at 3100 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1625 Shattuck Ave,04/25/2018,11/28/2022,Commercial,"On this project at 1625 Shattuck Ave, Berkeley, CA 94709 there have been 1 permit filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2116 Allston Way,02/26/2021,05/12/2022,Commercial,"On this project at 2116 Allston Way, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Dinerstein Companies (TDC)
2999 Regent St,08/05/2021,08/05/2021,Commercial,"On this project at 2999 Regent St, Berkeley, CA 94705 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
